phi theta x y z pt prodx prody prodz t pid
1.23533 1.78926 -0.12943 -30.16500 -59.00626 0.00571 -7.41676 -21.78858 -74.93000 0.73370 11
-1.09477 1.48834 -5.60568 -30.32841 -59.04291 0.00571 -7.41676 -21.78858 -74.93000 0.77592 11
1.13866 1.69092 -0.12651 -30.16500 -58.51947 0.00571 -7.41676 -21.78858 -74.93000 0.79942 11
-0.91675 1.80344 -4.39234 -30.16500 -62.71217 0.00571 -7.41676 -21.78858 -74.93000 0.84138 11
0.99176 1.78389 0.07665 -30.16500 -63.90850 0.00571 -7.41676 -21.78858 -74.93000 0.85971 11
-1.03305 1.61197 -4.49504 -30.18180 -64.54497 0.00571 -7.41676 -21.78858 -74.93000 0.89804 11
0.99265 1.62677 -0.06941 -30.16500 -64.87093 0.00571 -7.41676 -21.78858 -74.93000 0.91611 11
-1.87651 1.38107 -26.28372 -15.37043 -64.51905 0.00571 -19.41371 -12.36360 -74.93000 0.42873 11
0.11962 1.39734 -20.49697 -22.16279 -62.65315 0.00571 -19.41371 -12.36360 -74.93000 0.46473 11
-1.68689 1.18363 -26.01617 -16.01635 -55.34524 0.00571 -19.41371 -12.36360 -74.93000 0.54310 11
0.08889 1.19874 -20.96132 -21.69843 -51.60431 0.00571 -19.41371 -12.36360 -74.93000 0.57497 11
-1.92091 1.22249 -26.27453 -15.39261 -44.46533 0.00571 -19.41371 -12.36360 -74.93000 0.64834 11
0.27081 1.05356 -21.05179 -21.60796 -40.27371 0.00571 -19.41371 -12.36360 -74.93000 0.68430 11
-2.27863 0.96411 -26.02001 -16.00709 -28.82203 0.00571 -19.41371 -12.36360 -74.93000 0.74673 11
0.82519 1.13621 -20.11605 -22.54370 -21.47935 0.00571 -19.41371 -12.36360 -74.93000 0.79849 11
-2.44462 1.22575 -25.93013 -16.22408 -16.14075 0.00571 -19.41371 -12.36360 -74.93000 0.84575 11
0.60875 1.46842 -20.64853 -22.01122 -11.66827 0.00571 -19.41371 -12.36360 -74.93000 0.88960 11
-2.64192 1.50282 -26.16174 -15.66492 -9.90076 0.00571 -19.41371 -12.36360 -74.93000 0.93027 11
0.86473 1.34638 -20.77920 -21.88055 -8.12351 0.00571 -19.41371 -12.36360 -74.93000 0.97975 11
-2.37371 1.48068 -25.97744 -16.10984 -5.28520 0.00571 -19.41371 -12.36360 -74.93000 1.01810 11
0.82672 1.15855 -21.74462 -20.91513 -1.34992 0.00571 -19.41371 -12.36360 -74.93000 1.05671 11
-2.65680 0.82386 -25.50290 -17.25549 5.36853 0.00571 -19.41371 -12.36360 -74.93000 1.09021 11
1.32651 0.92181 -22.19034 -20.46941 15.63112 0.00571 -19.41371 -12.36360 -74.93000 1.13977 11
-2.89924 1.18181 -25.60402 -17.01138 18.59377 0.00571 -19.41371 -12.36360 -74.93000 1.16156 11
1.23354 1.37156 -21.91707 -20.74268 21.08600 0.00571 -19.41371 -12.36360 -74.93000 1.20344 11
-2.76421 1.63218 -25.83424 -16.45557 20.96981 0.00571 -19.41371 -12.36360 -74.93000 1.22962 11
1.11798 1.54265 -22.49474 -20.16501 22.36536 0.00571 -19.41371 -12.36360 -74.93000 1.26678 11
-3.02681 1.37444 -25.84819 -16.42189 22.92896 0.00571 -19.41371 -12.36360 -74.93000 1.28909 11
0.55896 2.05161 -24.66442 -19.27976 21.88950 0.00571 -19.41371 -12.36360 -74.93000 1.31318 11
0.91500 1.71385 -24.03402 -18.62573 21.61906 0.00571 -19.41371 -12.36360 -74.93000 1.31643 11
-2.48811 1.62629 -26.49152 -14.86875 22.52282 0.00571 -19.41371 -12.36360 -74.93000 1.33938 11
0.30946 1.63042 -24.83400 -18.87035 22.21061 0.00571 -19.41371 -12.36360 -74.93000 1.36015 11
0.82741 1.54300 -24.22350 -18.43626 22.19715 0.00571 -19.41371 -12.36360 -74.93000 1.36274 11
-3.03424 1.33313 -26.40887 -15.06829 23.00423 0.00571 -19.41371 -12.36360 -74.93000 1.38180 11
0.90664 1.31787 -24.96247 -18.56020 26.10218 0.00571 -19.41371 -12.36360 -74.93000 1.41298 11
2.62983 1.27285 -26.13909 -15.71959 27.21332 0.00571 -19.41371 -12.36360 -74.93000 1.42663 11
1.32377 1.13144 -25.42404 -17.44589 29.16261 0.00571 -19.41371 -12.36360 -74.93000 1.45785 11
-2.78070 1.77118 -26.44429 -14.98277 29.40860 0.00571 -19.41371 -12.36360 -74.93000 1.46900 11
0.26627 1.87022 -25.40042 -17.50291 28.02064 0.00571 -19.41371 -12.36360 -74.93000 1.48431 11
-3.10858 1.05918 -26.38416 -15.12794 27.01035 0.00571 -19.41371 -12.36360 -74.93000 1.49851 11
0.84938 1.27321 -25.56464 -17.10644 29.37807 0.00571 -19.41371 -12.36360 -74.93000 1.51713 11
-1.83282 1.16431 -26.25279 -15.44509 28.76490 0.00571 -19.41371 -12.36360 -74.93000 1.53445 11
-0.69208 1.29635 -25.85075 -16.41572 29.19613 0.00571 -19.41371 -12.36360 -74.93000 1.53883 11
3.03822 1.28012 -22.76777 19.89198 -64.43968 0.00571 -17.94761 14.40951 -74.93000 0.42742 11
-0.94021 1.70711 -27.45552 12.54146 -62.88370 0.00571 -17.94761 14.40951 -74.93000 0.46564 11
2.98268 1.62298 -22.21948 20.44027 -62.99220 0.00571 -17.94761 14.40951 -74.93000 0.53191 11
-1.05969 1.56122 -27.21221 13.12885 -63.33285 0.00571 -17.94761 14.40951 -74.93000 0.56858 11
3.04654 1.59055 -22.32006 20.33970 -64.15333 0.00571 -17.94761 14.40951 -74.93000 0.63573 11
-1.13532 1.57863 -27.14931 13.28070 -64.21732 0.00571 -17.94761 14.40951 -74.93000 0.67084 11
-1.59706 1.41872 -20.33603 -22.32372 -63.97314 0.00571 -14.80668 -17.62137 -74.93000 0.42777 11
0.46892 1.45379 -12.57720 -27.44071 -62.36213 0.00571 -14.80668 -17.62137 -74.93000 0.46567 11
-1.78356 1.47086 -20.62590 -22.03386 -61.39996 0.00571 -14.80668 -17.62137 -74.93000 0.53874 11
0.23556 1.41345 -15.38472 -27.27503 -60.03812 0.00571 -14.80668 -17.62137 -74.93000 0.56941 11
0.57801 1.38780 -14.30143 -26.72651 -59.80698 0.00571 -14.80668 -17.62137 -74.93000 0.57357 11
-1.95222 1.45310 -21.15554 -21.50421 -58.77601 0.00571 -14.80668 -17.62137 -74.93000 0.63395 11
0.70810 1.59425 -13.66802 -26.98888 -58.75696 0.00571 -14.80668 -17.62137 -74.93000 0.67582 11
-1.94714 1.44434 -20.41081 -22.24894 -58.71109 0.00571 -14.80668 -17.62137 -74.93000 0.72780 11
0.71270 1.78960 -12.12841 -27.62661 -58.29513 0.00571 -14.80668 -17.62137 -74.93000 0.77175 11
-1.70844 1.84617 -17.60676 -25.05299 -63.76398 0.00571 -14.80668 -17.62137 -74.93000 0.82091 11
